20230902	18:45:19	4e27d030-5fc6-4266-9eff-4d900085358e	POST	undefined	/auth
20230902	18:45:33	6475d7cd-df30-427b-a522-8bc90d4821a5	POST	undefined	/employees
20230902	18:45:54	26ab0610-3350-4331-bfdc-1c58e64f83a5	DELETE	undefined	/employees
20230902	18:46:01	39bae095-29fd-492a-8407-52605a169520	POST	undefined	/auth
20230902	18:46:26	a03fa966-4f41-4a7d-acbb-62f25bde9e48	DELETE	undefined	/employees
20230902	18:48:31	c2268c6d-5f74-4677-93fa-aadce36a5500	POST	undefined	/auth
20230902	18:48:45	97182b6a-430d-40ac-a0b8-030f9196b618	DELETE	undefined	/employees
20230903	07:45:22	0936d16b-6f9d-4029-ba16-5b6c2b383690	POST	undefined	/register
20230903	07:50:12	caf463be-9530-43c2-a650-b3ff14f8c06c	POST	undefined	/register
20230903	07:54:20	73f413a4-d2ff-4ba7-9f22-066e250499a9	POST	undefined	/register
20230903	07:55:48	00dca7ea-f6a5-48a8-bd78-5a8b253ddea4	POST	undefined	/register
20230903	22:20:00	6acc5c51-60fd-4cb8-a6bc-6d4f599b2bd3	POST	undefined	/register
20230903	22:20:10	415b813d-6b3b-42b3-b88b-40b0f43fa922	POST	undefined	/register
20230903	22:24:51	52367b6b-5e73-440f-8002-dbb110f9f7c0	POST	undefined	/auth
20230903	22:26:34	a563281e-be38-4c8d-a64e-1b008ab6e57c	POST	undefined	/auth
20230903	22:28:30	368a21e6-5384-44cf-a928-cc1b121f6dfc	GET	undefined	/refresh
20230903	22:28:51	0e58b180-3cc9-4f3b-9708-4c48f396fb49	POST	undefined	/auth
20230903	22:28:55	23bab322-05a7-48e1-ba6e-2bb7e55a4126	POST	undefined	/auth
20230903	22:29:00	e578991a-5708-4b21-9510-bac687683873	GET	undefined	/refresh
20230903	22:31:35	12dbde96-6b31-4579-a4b3-f48da3a91c00	GET	undefined	/logout
20230903	23:02:43	97481edf-2e8e-4a45-b34d-9e424d0fcb7b	POST	undefined	/auth
20230903	23:02:58	edd46feb-933f-4320-a1f4-4db1fe6d3313	GET	undefined	/employees
20230903	23:05:22	e6f7da29-4fe1-4ace-9d8a-04d1042f0875	POST	undefined	/auth
20230903	23:05:38	2845ecab-1928-4aeb-bbd1-ce9720259da3	POST	undefined	/employees
20230903	23:05:50	d764d7f1-8a9c-44c2-a7d7-b6da1c967e89	GET	undefined	/employees
20230903	23:06:03	2a398fe6-661a-4711-b8e7-911518479751	GET	undefined	/employees/64f50332027b4732be9b3b3d
20230903	23:06:22	32bd6975-c767-4d43-a584-431c5272e1ac	POST	undefined	/auth
20230903	23:06:42	c7042363-d62c-4706-a6ae-1cde48a30de0	GET	undefined	/employees/64f50332027b4732be9b3b3d
20230903	23:07:25	c46edc3a-285f-4912-9dd4-25be6c8336b2	POST	undefined	/auth
20230903	23:07:41	33c0958d-25db-4391-b0b6-b4b62ea7dfd4	GET	undefined	/employees/64f50332027b4732be9b3b3d
20230903	23:13:22	fdcae946-fd1e-40cc-87a6-d2dc7eeb6f7c	POST	undefined	/auth
20230903	23:13:51	e521c8a4-a064-449a-baac-cfe36aaa37be	POST	undefined	/employees
20230903	23:14:03	1a3cf985-ba63-4b6d-96c1-14e308c5b9f1	POST	undefined	/auth
20230903	23:14:15	5507d45b-b797-47d5-ae5d-e4baa36b922e	GET	undefined	/employees
20230903	23:23:09	bb350f1f-0c8d-479e-8531-44749210f349	POST	undefined	/auth
20230903	23:23:25	26849b75-4087-40d6-9807-fdc514cf5016	GET	undefined	/employees
20230903	23:24:53	9794e8a4-ab89-4e1c-ac3b-598778a54ac9	POST	undefined	/auth
20230903	23:25:26	991b2f85-c48a-4235-b6b7-2281da9dc49c	PUT	undefined	/employees
20230903	23:27:44	384390e6-09f7-4871-935c-a10e6620e125	POST	undefined	/auth
20230903	23:28:00	5b8f61ee-9b56-4139-b763-dfa539ff550f	GET	undefined	/employees
20230903	23:29:03	dec508ee-f0b8-47ca-87b7-6566293394c7	POST	undefined	/auth
20230903	23:29:16	a922a6c8-5a28-435a-9499-59bf25eb012a	PUT	undefined	/employees
20230903	23:29:25	a8ebd61d-d7e0-43e1-8b55-f046c4acd913	GET	undefined	/employees
